64253,1331,14989,88291,39933,90882,13548,28647,27413,90802,7474,82421,25090,88259,94962,9958,76499,55079,76932,72959,78028,13859,58892,51535,88421,81667,9467,97298,34275,61809,92990,80342,29068,94246,56945,12011,57219,2099,10223,45409,59057,59638,13999,51781,40589,44849,32304,55310,31184,55910,4799,91551,17259,46182,71593,81558,96514,7185,70938,70583,78793,95721,22030,20922,52002,84483,58806,4061,94001,58118,1620,74211,90752,91321,96774,14920,70125,2519,81435,19758,40788,99193,55007,77115,90425,7080,52912,67665,69877,27245,91855,71236,63535,17357,52880,25938,46487,89846,55595,7038,
85235,11869,20228,71681,97468,41936,60275,65452,16055,25013,64364,37831,31905,52049,69866,83765,29210,77548,25103,57895,43862,36314,28903,98866,52792,32543,17140,90920,19501,42938,1386,86776,56738,29526,46050,26046,25829,97045,40903,76390,7759,92988,67776,50939,53765,58354,65872,68126,642,20907,10964,7479,58309,100,88084,80770,40409,75616,33776,69884,40298,39591,55289,59886,59339,84849,31854,33329,46943,24034,92262,86197,53901,55205,23452,14930,15261,2316,13066,38995,21787,14951,76701,78760,91397,13460,67620,17096,54618,58392,69312,79240,46557,67768,11817,3541,31047,82033,96212,76180,
38380,85074,97162,52655,18521,66202,12202,78449,49248,1953,39711,97349,46100,83998,11889,10961,21497,81766,79687,13929,34995,11507,15797,54363,54673,97626,9253,89954,98619,83635,25282,85498,45864,24779,97526,95229,63060,33824,7530,50626,87443,77582,25025,26834,2024,4768,40648,11515,74601,89164,39089,22240,79316,81649,76826,12113,36222,84109,28660,35962,62219,68051,95401,4341,76771,58222,99125,87639,33853,46062,11740,49588,35420,4175,77486,27922,65411,45448,88354,57768,51686,80278,77236,27139,32413,12284,91838,91376,41778,38285,88016,58022,17009,18751,38345,88909,44555,59295,21134,67719,
89768,56948,56513,87613,61215,8343,42753,31089,62171,38693,5042,57470,82503,17658,27603,3970,21963,96515,9525,88938,56893,47083,39296,61874,30938,91451,25634,43257,70001,95650,14080,7772,48614,57903,87655,44942,21152,26730,26448,40523,8728,82194,79767,86284,17374,60271,85946,5536,84349,22712,62724,37286,58876,87138,92144,34353,41090,39555,35719,13784,96523,93994,8028,40544,32435,35200,57206,48341,29826,1633,14781,24039,29549,55982,58111,24981,2937,99698,36611,68271,96504,48796,31950,90950,92711,30330,44827,51980,752,47884,48618,69771,74976,49412,23222,998,40089,28476,63768,99474,
33642,11456,2264,16147,96109,19961,15954,34355,91777,52355,73662,17880,56034,71680,50500,54310,92828,95709,75973,52942,44421,38890,62393,25542,58181,66218,51779,86897,26469,47832,17373,39645,89802,70961,77714,91823,89130,98372,49531,66294,9696,50129,41030,2955,7403,3106,2784,52418,91217,71588,74199,87675,61848,23879,61422,91211,81015,48201,97971,25276,52346,17252,96519,67740,1242,41116,89799,31942,73040,71287,13910,29484,48406,71090,63742,42127,61423,80202,32784,67299,96714,96334,26328,40928,28403,34321,44687,62057,67406,49682,46043,93519,29906,60896,51232,23968,73521,63941,80064,7175,
95036,97986,35882,94210,49080,54538,29719,10611,51067,4597,6137,20411,87023,85389,89548,97472,59893,7545,65888,56175,72826,14170,47330,22905,55778,81254,82312,49882,69292,73956,38230,81846,55440,16442,79748,64563,36233,63961,38111,58688,88224,89030,79917,48072,76136,26584,84945,18341,84039,8821,74091,55112,62696,95080,92748,62954,34154,93553,14602,19223,49153,90183,10648,52070,25605,90342,36840,56999,89113,12951,31452,52344,22926,63678,31155,53604,2785,96507,98298,31301,83996,24265,33470,34756,27654,33220,21616,45166,4059,47615,99106,12233,96190,14093,61115,30090,54418,80524,79178,50788,
94127,51135,54145,96588,24006,26776,81880,83402,65030,47410,69365,50697,82328,94575,2768,9807,11590,278,98471,94303,98551,35598,65239,69319,73587,39769,39719,97523,94144,23862,78757,83268,97008,76242,67319,63391,15312,66584,9046,25553,92013,10047,93605,45426,45471,68314,83653,47663,13158,85110,62643,55364,67612,55152,69421,45186,85489,25007,63821,49748,78765,21983,60489,45056,3173,54852,69264,74689,71094,17144,18196,56584,19609,62454,49613,68663,30996,75952,94736,67798,6577,74960,47694,77206,82058,49260,19229,27288,51599,75708,81702,84350,16069,26002,34495,94057,19130,44397,59864,13604,
43473,26818,29102,26225,73104,92405,32468,42615,27274,51207,68744,67760,37372,12071,27377,75723,9581,71656,62604,44058,26737,9671,7476,69411,89528,73670,35185,81515,90710,35497,96027,33631,33540,64360,49241,44334,39154,55688,47044,16187,11348,95947,14433,46064,19763,29296,53814,31016,13641,27672,50009,8072,29483,45896,91492,92557,4975,48851,46860,86722,75759,55701,87251,2384,27276,53896,43024,69764,52812,59910,31081,15065,53472,94501,16101,39865,99856,65545,19962,31667,55608,50038,60233,77760,70734,27630,58034,58792,89103,91812,1450,67752,13477,96882,41219,65161,29341,31743,75232,90452,
6345,85309,30496,37128,36651,77105,99686,92386,97491,48909,94816,53409,61652,66575,58378,57830,74470,50778,40422,92797,37856,18118,36441,34404,6315,63848,96072,47409,49047,34541,89386,99961,80221,23924,54773,62502,79149,88313,72216,98390,58180,20881,63854,74766,18400,91196,59658,33682,30806,94954,18401,42968,49797,55282,28418,30385,79273,44899,95077,113,50059,69783,2691,67947,2474,644,30814,38541,7342,61199,49037,35516,81247,63366,1042,56086,56841,85886,75074,67659,15085,47987,75765,54775,41988,72811,19201,65288,62448,50435,55425,3521,99324,44893,39331,78501,24572,15601,20925,5913,
98990,56802,9332,42253,51366,26719,11878,11888,54070,28488,44259,257,21929,71178,85204,34984,98971,87764,86168,79364,44312,33922,76487,33380,27575,80415,27272,38006,54193,12839,59397,85426,46415,4796,58141,10971,18661,90806,21567,80406,35713,90005,43788,60775,76907,7657,91988,41119,85139,98167,41926,97225,84222,86609,35124,52420,91844,29155,40993,43392,63488,69892,18450,42545,92006,37172,36031,29977,49226,25063,29046,44234,27232,96624,6811,9151,21885,85577,50429,46385,14239,12043,24697,41177,5688,20020,95780,661,30634,80757,81997,27919,76290,54072,3555,95874,81550,82647,63088,90495,
